test_location,study,part_id,cond,coding_missing,lang_group,study_dom,lang_mix_score,child_dom_lang,lang_per_en,lang_per_fr,lang_per_sp,lang_per_ot,lang_name_ot,lang_per_dom,lang_per_ndom,gender,age_days,meanLT_log,sdLT_log,meanLT,sdLT,N
NewJersey,1,P41,switched,NA,bilingual,non-dominant,8,English,53,NA,47,NA,NA,53,47,female,244,1.4994004348830035,0.2630889277493503,4.605,1.3345036530485783,4
Montreal,2,P42,single,NA,bilingual,non-dominant,15,English,62,38,NA,0,NA,62,38,male,303,2.4247568469613237,0.7761728732676163,13.782499999999999,6.996894719394148,8
Montreal,2,P42,switched,NA,bilingual,non-dominant,15,English,62,38,NA,0,NA,62,38,male,303,2.516312203950795,0.5123501038160047,13.719999999999999,6.005595010369199,8
Montreal,1,P43,single,NA,bilingual,dominant,19,French,29,72,NA,0,NA,72,29,female,302,1.8367708161252665,0.4686324916552461,7.0062500000000005,4.088387518325532,8
Montreal,1,P43,switched,NA,bilingual,dominant,19,French,29,72,NA,0,NA,72,29,female,302,1.8661375513115162,0.662637307207944,7.84,5.969979061939832,5
Montreal,1,P48,single,NA,bilingual,non-dominant,0,French,26,75,NA,0,NA,75,26,female,311,2.398787913122262,0.673536528130258,13.047142857142857,7.095864321997037,7
Montreal,1,P48,switched,NA,bilingual,non-dominant,0,French,26,75,NA,0,NA,75,26,female,311,2.007272552438954,0.6579167727878249,8.85,5.313699276398694,7
Montreal,2,P48,single,NA,bilingual,non-dominant,0,French,26,75,NA,0,NA,75,26,female,311,2.079637635849651,0.7144061759125802,9.8325,6.321021052239673,8
Montreal,2,P48,switched,NA,bilingual,non-dominant,0,French,26,75,NA,0,NA,75,26,female,311,2.3402434986089133,0.5936891659251322,11.966249999999999,6.265734337307502,8
Montreal,1,P51,single,NA,bilingual,non-dominant,10,English,56,44,NA,0,NA,56,44,male,254,1.887645712251627,0.6190114916560965,7.7628571428571425,4.7433838634660885,7
Montreal,1,P51,switched,NA,bilingual,non-dominant,10,English,56,44,NA,0,NA,56,44,male,254,1.9988944628907692,0.44859120918754747,8.054285714285715,3.7130035332726576,7
Montreal,2,P51,single,NA,bilingual,non-dominant,10,English,56,44,NA,0,NA,56,44,male,254,2.265591284963506,0.4458141004390129,10.45375,4.26877010557909,8
Montreal,2,P51,switched,NA,bilingual,non-dominant,10,English,56,44,NA,0,NA,56,44,male,254,2.0980275067643395,0.47436726403802126,8.992857142857142,4.546975970487471,7
Montreal,1,P53,single,NA,monolingual,dominant,5,French,0,100,NA,0,NA,100,0,male,272,1.6306253690376216,0.4570802933543772,5.5775,2.42448079861589,8
Montreal,1,P53,switched,NA,monolingual,dominant,5,French,0,100,NA,0,NA,100,0,male,272,1.988149984549465,0.24095369411200873,7.449999999999999,1.5841506662351699,4
Montreal,1,P54,single,NA,monolingual,dominant,13,English,91,10,NA,0,NA,91,10,male,242,1.4956319251798968,0.36677647406685315,4.723333333333334,1.7690637825320676,6
Montreal,1,P54,switched,NA,monolingual,dominant,13,English,91,10,NA,0,NA,91,10,male,242,2.1758092706272087,0.7339056086603913,10.774000000000001,7.129090404813226,5
Montreal,2,P54,single,NA,monolingual,dominant,13,English,91,10,NA,0,NA,91,10,male,242,1.683306973506943,0.7850503520708724,6.913333333333333,5.126954911706038,6
Montreal,2,P54,switched,NA,monolingual,dominant,13,English,91,10,NA,0,NA,91,10,male,242,1.9356010007527196,0.5930253249014825,7.95125,4.23945898671045,8
Montreal,1,P56,single,NA,monolingual,dominant,1,French,0,98,NA,3,Spanish,98,0,female,266,2.1114183836362757,0.6685093678455217,9.87,5.907345709651106,7
